child,parent,source
us-gaap:AccountsPayable,us-gaap:CurrentLiabilities,auto-freq
us-gaap:AccountsPayableAndAccruedLiabilitiesCurrent,us-gaap:CurrentLiabilities,auto-freq
us-gaap:AccountsPayableCurrent,us-gaap:CurrentLiabilities,auto-freq
us-gaap:AccountsPayableTradeCurrent,us-gaap:CurrentLiabilities,auto-freq
us-gaap:AccountsReceivableNet,us-gaap:CurrentAssets,auto-freq
us-gaap:AccountsReceivableNetCurrent,us-gaap:CurrentAssets,auto-freq
us-gaap:AmortizationOfAcquiredIntangibleAssets,us-gaap:NoncurrentAssets,auto-freq
us-gaap:AmortizationOfIntangibleAssets,us-gaap:NoncurrentAssets,auto-freq
us-gaap:BusinessAcquisitionPurchasePriceAllocationAmortizableIntangibleAssets,us-gaap:NoncurrentAssets,auto-freq
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,us-gaap:NoncurrentAssets,auto-freq
us-gaap:ContractWithCustomerLiability,us-gaap:CurrentLiabilities,auto-freq
us-gaap:ContractWithCustomerLiabilityCurrent,us-gaap:CurrentLiabilities,auto-freq
us-gaap:ContractWithCustomerLiabilityNoncurrent,us-gaap:CurrentLiabilities,auto-freq
us-gaap:ContractWithCustomerLiabilityRevenueRecognized,us-gaap:CurrentLiabilities,auto-freq
us-gaap:CostOfGoodsSold,us-gaap:CostOfRevenue,auto-freq
us-gaap:CostOfRevenue,us-gaap:CostOfRevenue,auto-freq
us-gaap:DeferredRevenue,us-gaap:CurrentLiabilities,auto-freq
us-gaap:DeferredRevenueCurrent,us-gaap:CurrentLiabilities,auto-freq
us-gaap:DeferredRevenueNoncurrent,us-gaap:CurrentLiabilities,auto-freq
us-gaap:DeferredRevenueRevenueRecognized1,us-gaap:CurrentLiabilities,auto-freq
us-gaap:DeferredTaxAssetsGoodwillAndIntangibleAssets,us-gaap:NoncurrentAssets,auto-freq
us-gaap:DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,us-gaap:NoncurrentAssets,auto-freq
us-gaap:DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,us-gaap:NoncurrentAssets,auto-freq
us-gaap:EarningsPerShareDiluted,us-gaap:EarningsPerShareDiluted,auto-freq
us-gaap:FiniteLivedIntangibleAssetsAccumulatedAmortization,us-gaap:NoncurrentAssets,auto-freq
us-gaap:FiniteLivedIntangibleAssetsAmortizationExpense,us-gaap:NoncurrentAssets,auto-freq
us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,us-gaap:NoncurrentAssets,auto-freq
us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,us-gaap:NoncurrentAssets,auto-freq
us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,us-gaap:NoncurrentAssets,auto-freq
us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,us-gaap:NoncurrentAssets,auto-freq
us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,us-gaap:NoncurrentAssets,auto-freq
us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,us-gaap:NoncurrentAssets,auto-freq
us-gaap:FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,us-gaap:NoncurrentAssets,auto-freq
us-gaap:FiniteLivedIntangibleAssetsFutureAmortizationExpense,us-gaap:NoncurrentAssets,auto-freq
us-gaap:FiniteLivedIntangibleAssetsGross,us-gaap:NoncurrentAssets,auto-freq
us-gaap:FiniteLivedIntangibleAssetsNet,us-gaap:NoncurrentAssets,auto-freq
us-gaap:FiniteLivedIntangibleAssetsUsefulLifeMaximum,us-gaap:NoncurrentAssets,auto-freq
us-gaap:FiniteLivedIntangibleAssetsUsefulLifeMinimum,us-gaap:NoncurrentAssets,auto-freq
us-gaap:FinitelivedIntangibleAssetsAcquired1,us-gaap:NoncurrentAssets,auto-freq
us-gaap:GainLossOnDispositionOfIntangibleAssets,us-gaap:NoncurrentAssets,auto-freq
us-gaap:Goodwill,us-gaap:NoncurrentAssets,auto-freq
us-gaap:ImpairmentOfIntangibleAssetsExcludingGoodwill,us-gaap:NoncurrentAssets,auto-freq
us-gaap:ImpairmentOfIntangibleAssetsFinitelived,us-gaap:NoncurrentAssets,auto-freq
us-gaap:ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill,us-gaap:NoncurrentAssets,auto-freq
us-gaap:IncomeTaxExaminationInterestExpense,us-gaap:IncomeTaxExpenseBenefit,auto-freq
us-gaap:IncomeTaxExaminationPenaltiesAndInterestExpense,us-gaap:IncomeTaxExpenseBenefit,auto-freq
us-gaap:IncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit,auto-freq
us-gaap:IncomeTaxExpenseBenefitContinuingOperations,us-gaap:IncomeTaxExpenseBenefit,auto-freq
us-gaap:IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,us-gaap:IncomeTaxExpenseBenefit,auto-freq
us-gaap:IncomeTaxHolidayIncomeTaxBenefitsPerShare,us-gaap:IncomeTaxExpenseBenefit,auto-freq
us-gaap:IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,us-gaap:IncomeTaxExpenseBenefit,auto-freq
us-gaap:IncomeTaxReconciliationNondeductibleExpense,us-gaap:IncomeTaxExpenseBenefit,auto-freq
us-gaap:IncomeTaxReconciliationNondeductibleExpenseImpairmentLosses,us-gaap:IncomeTaxExpenseBenefit,auto-freq
us-gaap:IncomeTaxReconciliationNondeductibleExpenseOther,us-gaap:IncomeTaxExpenseBenefit,auto-freq
us-gaap:IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,us-gaap:IncomeTaxExpenseBenefit,auto-freq
us-gaap:IndefiniteLivedIntangibleAssets,us-gaap:NoncurrentAssets,auto-freq
us-gaap:IndefiniteLivedIntangibleAssetsExcludingGoodwill,us-gaap:NoncurrentAssets,auto-freq
us-gaap:IntangibleAssetsGrossExcludingGoodwill,us-gaap:NoncurrentAssets,auto-freq
us-gaap:IntangibleAssetsNetExcludingGoodwill,us-gaap:NoncurrentAssets,auto-freq
us-gaap:InterestExpense,us-gaap:InterestExpense,auto-freq
us-gaap:InterestExpenseDebt,us-gaap:InterestExpense,auto-freq
us-gaap:InterestExpenseLongTermDebt,us-gaap:InterestExpense,auto-freq
us-gaap:InterestExpenseNonoperating,us-gaap:InterestExpense,auto-freq
us-gaap:InterestExpenseOther,us-gaap:InterestExpense,auto-freq
us-gaap:InventoryAdjustments,us-gaap:CurrentAssets,auto-freq
us-gaap:InventoryFinishedGoods,us-gaap:CurrentAssets,auto-freq
us-gaap:InventoryFinishedGoodsNetOfReserves,us-gaap:CurrentAssets,auto-freq
us-gaap:InventoryLIFOReserve,us-gaap:CurrentAssets,auto-freq
us-gaap:InventoryNet,us-gaap:CurrentAssets,auto-freq
us-gaap:InventoryRawMaterials,us-gaap:CurrentAssets,auto-freq
us-gaap:InventoryRawMaterialsAndSupplies,us-gaap:CurrentAssets,auto-freq
us-gaap:InventoryRawMaterialsAndSuppliesNetOfReserves,us-gaap:CurrentAssets,auto-freq
us-gaap:InventoryRawMaterialsNetOfReserves,us-gaap:CurrentAssets,auto-freq
us-gaap:InventoryValuationReserves,us-gaap:CurrentAssets,auto-freq
us-gaap:InventoryWorkInProcess,us-gaap:CurrentAssets,auto-freq
us-gaap:InventoryWorkInProcessNetOfReserves,us-gaap:CurrentAssets,auto-freq
us-gaap:InventoryWriteDown,us-gaap:CurrentAssets,auto-freq
us-gaap:OperatingLeaseLiability,us-gaap:NoncurrentLiabilities,auto-freq
us-gaap:OperatingLeaseLiabilityCurrent,us-gaap:NoncurrentLiabilities,auto-freq
us-gaap:OperatingLeaseLiabilityNoncurrent,us-gaap:NoncurrentLiabilities,auto-freq
us-gaap:OperatingLeaseRightOfUseAsset,us-gaap:NoncurrentAssets,auto-freq
us-gaap:OperatingLeaseRightOfUseAssetAmortizationExpense,us-gaap:NoncurrentAssets,auto-freq
us-gaap:OtherIntangibleAssetsNet,us-gaap:NoncurrentAssets,auto-freq
us-gaap:PaymentsToAcquireIntangibleAssets,us-gaap:NoncurrentAssets,auto-freq
us-gaap:PropertyPlantAndEquipmentAdditions,us-gaap:NoncurrentAssets,auto-freq
us-gaap:PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAccumulatedDepreciationAndAmortization,us-gaap:NoncurrentAssets,auto-freq
us-gaap:PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,us-gaap:NoncurrentAssets,auto-freq
us-gaap:PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetBeforeAccumulatedDepreciationAndAmortization,us-gaap:NoncurrentAssets,auto-freq
us-gaap:PropertyPlantAndEquipmentGross,us-gaap:NoncurrentAssets,auto-freq
us-gaap:PropertyPlantAndEquipmentNet,us-gaap:NoncurrentAssets,auto-freq
us-gaap:PropertyPlantAndEquipmentOther,us-gaap:NoncurrentAssets,auto-freq
us-gaap:PropertyPlantAndEquipmentUsefulLifeMaximum,us-gaap:NoncurrentAssets,auto-freq
us-gaap:PropertyPlantAndEquipmentUsefulLifeMinimum,us-gaap:NoncurrentAssets,auto-freq
us-gaap:ResearchAndDevelopmentExpense,us-gaap:OperatingExpenses,auto-freq
us-gaap:ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost,us-gaap:OperatingExpenses,auto-freq
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:Revenues,auto-freq
us-gaap:RevenueFromContractWithCustomerIncludingAssessedTax,us-gaap:Revenues,auto-freq
us-gaap:SalesRevenueNet,us-gaap:Revenues,auto-freq
us-gaap:SellingGeneralAndAdministrativeExpense,us-gaap:OperatingExpenses,auto-freq
